Código;Descrição;Unidade de Medida;Familia;Foto ou Imagem
164681;CHAVE A OLEO,SUCATA;PZ;SUCATA;164681.jpg
164682;CB AL NU 4AWG CA ,SUCATA;KG;COND.ALUM.NÚ.CA.SUCATA [S/ALMA];164682.jpg
164683;CB AL NU CAA 2AWG,SUCATA;KG;COND.ALUM.NÚ.CAA.SUCATA [C/ALMA];164683.jpg
164684;COND CU NU 6MM²,1 FIO,PM-1846 I1 ,SUCATA;KG;COND.CU.NÚ.SUCATA;164684.jpg
164685;CB ELÉTRMULT AL 35MM²-FP,SUCATA;M;COND.ALUM.ISOLADO.SUCATA;164685.jpg
164687;CB PRE-REUN AL 3X95+1X70MM²DED-1,SUCATA;M;COND.ALUM.ISOLADO.SUCATA;164687.jpg
164706;CAIXA DERIVAÇÃO 160A - GSCC019/1;PZ;CAIXAS;164706.jpg
164707;CUBÍCULO,SERVIÇOS AUX,17.5KV,INT,ESE008;PC;MATERIAL GERAL;164707.jpg
164709;CUB,SAÍDA,BCO CAPAC,17.5KV,630A,25KA,INT;PC;MATERIAL GERAL;164709.jpg
164710;CUB,SAÍDA,ALIM,17.5KV,630A,25KA,I,ESE008;PC;MATERIAL GERAL;164710.jpg
164715;FITA,ISOL,ADE,BRAN,19MMX20M,PM-BR220.01;PZ;MATERIAL GERAL;164715.jpg
164721;CUBÍCULO,MEDIÇÃO,17.5KV,INTERIOR;PC;MATERIAL GERAL;164721.jpg
164943;CRUZETA, POLIMERICA 2400MM RETANG 1;UN;CRUZETA;164943.jpg
164997;CUB,ENT,TRAFO,17.5KV,3150A,25KA,I,ESE008;PC;MATERIAL GERAL;164997.jpg
164998;CUB,INTERLIG BARRA,17.5KV,3150A,25KA,INT;PC;MATERIAL GERAL;164998.jpg
164999;CUBÍCULO,REMONTE,17.5KV,INTERIOR,ESE008;PC;MATERIAL GERAL;164999.jpg
165015;UP TELECONTROL PARA INSTALACION EXTERIOR;PC;TELECONTROLE;165015.jpg
165017;UNIDAD PERIFERICA TELECONTROL;PC;TELECONTROLE;165017.jpg
165076;SACOLA PARA MANGA DE BORRACHA EQS;PC;EPI/EPC;165076.jpg
165093;BATERIA ESTAC. VLRA 12V 7AH/10H, ET-275;UN;BATERIA;165093.jpg
165146;CONVERSOR INTERF RS232/P OTIC/ETHE 220V;UN;MATERIAL GERAL;165146.jpg
165147;DISPLAY MED ENERG ION/ABNT LCD 32 CARACT;UN;MEDIDOR;165147.jpg
165191;CAIXA  ATERRAMENTO DED-1855;PC;CAIXAS;165191.jpg
165192;"IDENTIFICADOR FASE,""C"", DED-1929 I3 R1";PC;MATERIAL GERAL;165192.jpg
165193;MARRETA DE AÇO, COM CABO, DE 1 KG;PZ;FERRAMENTAS;165193.jpg
165206;CARREGADOR,BATERIAS,AUTO 12VCC 12A 32 AH;UN;FERRAMENTAS;165206.jpg
165239;DISPOSIT.ANCOR.,ABER.LONG.,ET-HS-128;CJT;FERRAMENTAS;165239.jpg
165253;CAP,200KVA,7960V,25KA,ET002-À RECUPERAR;PC;CAPACITORES;165253.jpg
166251;CAPACITOR, DIVERSOS TIPOS E CAPAC INSERV;PC;MATERIAL GERAL;166251.jpg
166271;CJ PROT MT11,95KV/400A-PM2183 I1 R1;PZ;DIVERSOS;166271.jpg
166339;CUB,ENT,TRAFO,17.5KV,4000A,25KA,I,ESE008;UN;MATERIAL GERAL;166339.jpg
166364;INVERSOR SOLAR 24VCC 240VCA 2KW;UN;PADRÃO;166364.jpg
166436;"IDENTIFICADOR FASE, ""B"",DED-1929 I2 R1";PC;MATERIAL GERAL;166436.jpg
166481;BATERIA, NI-MH, 9V,ALCALINA;UN;BATERIA;166481.jpg
166487;CABLE NORMALIZADO DE CONEXION UP-IMS;PC;TELECONTROLE;166487.jpg
166500;TTR MEDIDOR DE RELAÇÃO DE TRANSFORMAÇ;UN;FERRAMENTAS;166500.jpg
166505;FONTE ENERGIA 24 VCC - DV7077;PC;SUBSTAÇÃO;166505.jpg
166508;MALETA INSPEC MTC-26 ENSAIOS 127V;UN;FERRAMENTAS;166508.jpg
166511;CB,ELÉTR AL NU CAA4/0-FP SUBST.P/,SUCATA;KG;COND.ALUM.NÚ.CAA.SUCATA [C/ALMA];166511.jpg
166553;CJT 3 ELEM.TRANSF.MED.MT,15A-A RECUPERAR;UN;CJT MEDIÇÃO;166553.jpg
166554;CJT 3 ELEM.TRANSF.MED.MT,20A-A RECUPERAR;UN;CJT MEDIÇÃO;166554.jpg
166555;CJT 3 ELE.TRANS.MD.MT,50/100-A RECUPERAR;UN;CJT MEDIÇÃO;166555.jpg
166557;CJT 3ELEM.TRAN.MED.MT,200-600,A RECUP.;UN;CJT MEDIÇÃO;166557.jpg
166561;PAINEL ELET CA/CC-380V 2190X 800X 645MM;UN;MATERIAL GERAL;166561.jpg
166567;BATERIA ESTACIONARIA VLRA 12V 1,3AH/20HS;PZ;BATERIA;166567.jpg
166568;RETIF,TRIF,220VCA-125VCC,DUPL,75A,VAL;PC;MATERIAL GERAL;166568.jpg
170041;ELO,FUS,5A,H,GSCM012/64;CDA;MATERIAL GERAL;170041.jpg
170042;ELO,FUS,3A,H,GSCM012/63;EA;MATERIAL GERAL;170042.jpg
170043;ELO,FUS,2A,H,GSCM012/62;EA;MATERIAL GERAL;170043.jpg
170044;ELO,FUS,1A,H,GSCM012/61;EA;MATERIAL GERAL;170044.jpg
170058;ELO,FUS,100A,K,GSCM012/35;EA;CONECTORES;170058.jpg
170064;ELO,FUS,25A,K,GSCM012/29;CDA;MATERIAL GERAL;170064.jpg
170066;ELO,FUS,16A,K,GSCM012/27;CDA;MATERIAL GERAL;170066.jpg
170067;ELO,FUS,12,5A,K,GSCM012/26;EA;MATERIAL GERAL;170067.jpg
170068;ELO,FUS,10A,K,GSCM012/25;CDA;MATERIAL GERAL;170068.jpg
170069;ELO,FUS,8A,K,GSCM012/24;EA;MATERIAL GERAL;170069.jpg
170070;ELO,FUS,6,3A,K,GSCM012/23;EA;PADRÃO;170070.jpg
170074;CH,FUS,24KV,E,LINEAR,8kA,GSCM012/2;PC;CHAVES;170074.jpg
170075;CH,FUS,24KV,D,LINEAR,8kA,GSCM012/1;PC;CHAVES;170075.jpg
170158;CH,FUS,INOX,15KV,E,LIN,(465),GSCM012/11;EA;CHAVES;170158.jpg
170159;CH,FUS,AZ,15KV,D,LINEAR,(380),GSCM012/10;EA;CHAVES;170159.jpg
170973;P.RAIOS,POLIM.ÓX.ZINC,30KV SUB-BASE ISOL;PC;MATERIAL GERAL;170973.jpg
170974;P.RAIOS,POLIM.ÓX.ZINC,60KV S/CONT-BLOQUE;PC;MATERIAL GERAL;170974.jpg
170977;P.RAIOS,POLIM.ÓX.ZINCO,12KV SUBBASE ISOL;PC;MATERIAL GERAL;170977.jpg
170983;PARA-RAIOS,69KV-10KA,ZnO,PM-R155.05.2;PC;MATERIAL GERAL;170983.jpg
170985;PARA-RAIOS,138KV-10KA,ZnO,PM-R155.05.2;PC;MATERIAL GERAL;170985.jpg
171060;RELIGADOR,1F,27KV, 200A,OP.3F,NTE044/01;UN;TELECONTROLE;171060.jpg
171088;PARA-RAIO,12KV,95kV,CLASS D,POLI,GSCC016;PC;MATERIAL GERAL;171088.jpg
171089;ELO,FUS,BOT,15KV, 1A,H,D13801.6;UN;MATERIAL GERAL;171089.jpg
171090;ELO,FUS,BOT,15KV, 2A,H,D13801.6;UN;MATERIAL GERAL;171090.jpg
171091;ELO,FUS,BOT,15KV, 3A,H,D13801.6;UN;MATERIAL GERAL;171091.jpg
171092;ELO,FUS,BOT,15KV, 5A,H,D13801.6;UN;MATERIAL GERAL;171092.jpg
171093;ELO,FUS,DISTRIB,15/36KV,6A,K,D138.01;UN;MATERIAL GERAL;171093.jpg
171094;ELO,FUS,BOT,15KV, 8A,K,D13801.6;UN;MATERIAL GERAL;171094.jpg
171095;ELO,FUS,BOT,15KV, 10A,K,D13801.4FP;UN;MATERIAL GERAL;171095.jpg
171096;ELO,FUS,DISTRIB,15/36KV,12A,K,D138.01;UN;MATERIAL GERAL;171096.jpg
171097;ELO,FUS,BOT,15KV,15A,K,D13801.4FP;UN;MATERIAL GERAL;171097.jpg
171099;ELO,FUS,BOT,15KV,25A,K,D13801.6FP;UN;MATERIAL GERAL;171099.jpg
171110;ELO FUSÍVEL TIPO 1H, DED-0094 I.2 R.5;PC;MATERIAL GERAL;171110.jpg
171111;ELO FUSÍVEL TIPO 2H, DED-0094 I.3 R.5;PC;MATERIAL GERAL;171111.jpg
171112;ELO FUSÍVEL TIPO 3H, DED-0094 I.4 R.5;PC;MATERIAL GERAL;171112.jpg
171113;ELO FUSÍVEL TIPO 5H, DED-0094 I.5 R.5;PC;MATERIAL GERAL;171113.jpg
171114;ELO FUSÍVEL TIPO 6K, DED-0094 I.6 R.5;PC;MATERIAL GERAL;171114.jpg
171115;ELO FUSÍVEL TIPO 8K, DED-0094 I.7 R.5;PC;MATERIAL GERAL;171115.jpg
171116;ELO FUSÍVEL TIPO 10K, DED-0094 I.8 R.5;PC;MATERIAL GERAL;171116.jpg
171117;ELO FUSÍVEL TIPO 12K, DED-0094 I.9 R.5;PC;MATERIAL GERAL;171117.jpg
171118;ELO FUSÍVEL TIPO 15K, DED-0094 I.10 R.5;PC;MATERIAL GERAL;171118.jpg
171119;ELO FUSÍVEL TIPO 25K, DED-0094 I.11 R.5;PC;MATERIAL GERAL;171119.jpg
171120;ELO FUSÍVEL TIPO 40K, DED-0094 I.12 R.5;PC;MATERIAL GERAL;171120.jpg
171121;ELO FUSÍVEL TIPO 50K, DED-0094 I.13 R.5;PC;MATERIAL GERAL;171121.jpg
171122;CHAVE C.CIRC TIPOC 17,5kV-100A DED1163R3;PC;CHAVES;171122.jpg
171125;PARA-RAIO,12KV,95kV,CLASS E,POLI,GSCC016;PC;MATERIAL GERAL;171125.jpg
171129;FUSÍVEL NH 500V-250A,TAM.2,DQN-2048I4R1;PZ;MATERIAL GERAL;171129.jpg
171140;PORTA FUSIVEL GRAMPO LINHA VIVA-PM-2256;PC;MATERIAL GERAL;171140.jpg
171183;SUPORTE,AZ,P/3 SEC FUS UNIP BT,ETA133   ;PC;FERRAGEM;171183.jpg
171185;FUSIVEL,NH,315A,19KA,D13401;PC;MATERIAL GERAL;171185.jpg
171217;PARA-RAIO MT REMOVIVEL 12KV, 10 KA, 60HZ;PC;MATERIAL GERAL;171217.jpg
171218;CHAVE,FUS,AZ,27KV,100A,C,POLIM,ET-277 ;PC;CHAVES;171218.jpg
171221;PARA-RAIOS,DH,T,POL,30KV,E,GSCC016/10;PEÇ;MATERIAL GERAL;171221.jpg
171409;CHAVE, FUSÍVEL RELIGADORA 15KV-100A, NBI-4545870;PC;CHAVES;171409.jpg
171411;CX DISJ TERM TRIFASICO 175E200A,PM2145I2;PC;MATERIAL GERAL;171411.jpg
180031;SETA LUMINOSA DIRECIONAL;UN;FERRAMENTAS;180031.jpg
180165;RELE de ALIMENTADOR IEC61850;PC;MATERIAL GERAL;180165.jpg
180494;RELE DISTANCIA 110V. 5A.125VCC.;PC;MATERIAL GERAL;180494.jpg
180725;RELÉ FOTOELÉTRICO 220V - DED-0073 R5;PC;MATERIAL GERAL;180725.jpg
180945;RELE, DIFERENCIAL DIGITAL P/TRAFO TRIFÁS;PC;MATERIAL GERAL;180945.jpg
180946;RELE DIRECIONAL SOBRECORRENTE FASE 67,60;PC;MATERIAL GERAL;180946.jpg
180948;RELE PROT 50/51,50/51G,50/51N,50/51Q;PC;PROTECCIONES (RELÉS, UP, RGDAT);180948.jpg
181051;RELE IND 8A 250VCA 4REV 125V CC;UN;PROTECCIONES (RELÉS, UP, RGDAT);181051.jpg
181052;RELE IND 16A 250VCA 3REV 125V CC;UN;PROTECCIONES (RELÉS, UP, RGDAT);181052.jpg
200110;CAVALETE HIDRÁULICO COM FREIO A DISCO;EA;FERRAMENTAS;200110.jpg
200165;BASTAO MOV POSTE TIRANTE 1200MM,;UN;FERRAMENTAS;200165.jpg
200173;CONEC,TERM,COMPR,AL,95MM2,1F,D71038;EA;CONECTORES;200173.jpg
200186;SUPOR,TRAFO,POSTE CIRC,270MM,TP1,D421.01;EA;FERRAGEM;200186.jpg
200207;GRAMPO,LINHA VIVA,TIPO 1,D710.70;EA;MATERIAL GERAL;200207.jpg
200231;PARAF,PRISI,LATÃO,M12,100MM,PM-BR480.03;EA;FERRAGEM;200231.jpg
200233;PARAF,PRISI,LATÃO,M12,150MM,PM-BR480.03;UN;FERRAGEM;200233.jpg
200234;PARAF,PRISI,LATÃO,M12,200MM,PM-BR480.03;UN;FERRAGEM;200234.jpg
200237;SUPORTE,FIXAÇÃO,P/TACOS,TIPO1,D480.15.1;UN;FERRAGEM;200237.jpg
200250;SUPORTE L,ACO CARBONO,PM-BR410.35;EA;FERRAGEM;200250.jpg
200594;ALCA PREF DIST,LIGA AL,N NU,50MM2,D73006;EA;MATERIAL GERAL ESPECIAL;200594.jpg
200611;ALCA PREF SERV,LIGA AL,N NU,50MM2,D73006;EA;MATERIAL GERAL ESPECIAL;200611.jpg
200633;LAÇO PREF DIST,LIGA AL,N NU,50MM2,D73006;EA;MATERIAL GERAL;200633.jpg
200645;PINO,AUTOTRAVANTE,ISOL,60,RTOTAL,D51507;EA;FERRAGEM;200645.jpg
201310;TERMINAL,PRE-ISO,2.5MM2,CU,GARFO,D770.05;UN;CONECTORES;201310.jpg
201317;CONC.TERM.CMP.MED,35MM2,?=13,2MM,D710910;PC;MATERIAL GERAL;201317.jpg
201318;TERM,AGR,CB POT,12/20KV,35-150MM2,D7252;PC;MATERIAL GERAL;201318.jpg
201365;LUVA,EME,COMP,AL,2AWG,PM-C720.15,FP;UN;MATERIAL GERAL;201365.jpg
201366;LUVA.EMENDA.COMPRES.4AWGCAA.D72016;UN;CONECTORES;201366.jpg
201376;CONECTOR,ATERR,CU,16-70,D71025;UN;CONECTORES;201376.jpg
201381;SUPORTE P/CHAVE BY-PASS, DED-1948 R.5   ;PC;FERRAGEM;201381.jpg
201383;CONECTOR, TERMINAL A COMPRESSAO LIG AL;PC;CONECTORES;201383.jpg
201384;ARRUELA LISA QUADRADA, DED-0036 R.3;PC;FERRAGEM DIVERSOS;201384.jpg
201385;ARRUELA LIGA DE ALUMÍNIO DED-1256 R.2;PC;MATERIAL GERAL;201385.jpg
201386;CONECTOR PARAF. FENDIDO,DED-1845 I2;PC;MATERIAL GERAL;201386.jpg
201387;HASTE DE ANCORA, DED-0082 R.5;PC;FERRAGEM ESPECIAL;201387.jpg
201388;CONECTOR TERM. P/ COND. CU, DDT-1761 I.5;PC;CONECTORES;201388.jpg
201389;CONECTOR TERM. P/ COND. AL, DED-0105 I.2;PC;CONECTORES;201389.jpg
201390;CONECTOR TERM. P/ COND. CU, DDT-1761 I.4;PC;MATERIAL GERAL;201390.jpg
201391;CONECTOR TERM. P/ COND. CU DDT-1761 I.7;PC;MATERIAL GERAL;201391.jpg
201392;CONECTOR TERM. P/ COND. CU, DDT-1761 I.9;PC;MATERIAL GERAL;201392.jpg
201393;GRAMPO, ATERRAMENTO, DED-79-0085 R.2;PC;MATERIAL GERAL;201393.jpg
201397;CONEC TERM COMP MED,CB 35mm²,PM2092I7R8;PC;CONECTORES;201397.jpg
201398;CONEC TERM COMP MED,CB 70MMý,PM2092I8R8 ;PC;MATERIAL GERAL;201398.jpg
201399;SUPORTE P/DEGRAUS,CX.SUBTERRAN-DQN2135;PC;MATERIAL GERAL;201399.jpg
201402;SUP. PARA FIXAÇÃO PARA-RAIOS TRANSF.;PC;MATERIAL GERAL;201402.jpg
201406;CONECTOR TERM COMPR-CAA4AWG-PM2223I1;PC;MATERIAL GERAL;201406.jpg
201407;CONECTOR TERM COMPR-AL-150MM2-PM2223I9;PC;CONECTORES;201407.jpg
201410;CONECTOR,TERM,COMPR,CU,240MM2,2F,D71048;UN;CONECTORES;201410.jpg
201415;CONEC,TERM,COMPR,AL,120MM2,2F,D71038,FPM;PC;CONECTORES;201415.jpg
201437;CONECTOR TERM,COND AL 95MM,PM2251I3R0;PC;CONECTORES;201437.jpg
201439;CONECTOR CUNHA ATERR-4-7-8MM-PM2255I1;PC;MATERIAL GERAL ESPECIAL;201439.jpg
201440;PINO TOPO,ISOL PILAR,AÇO GALV,PM-2162 I2;PC;MATERIAL GERAL;201440.jpg
201501;CB,ACO-CU,ATERR,35MM²,D80502,SUCATA;UN;COND.CU.ISOLADO.SUCATA;201501.jpg
201534;"HASTE,ATERR,AÇO-COBR,5/8"",2400MM,D80001";UN;FERRAGEM;201534.jpg
201626;CONECTOR, DERIV CUNHA, AL AZ SOMADI;UN;CONECTORES;201626.jpg
201676;CONECTOR,TERM,COMPR,CU,I11,D1761,FP;PZ;CONECTORES;201676.jpg
201734;KIT BORNEIRA;PC;MATERIAL GERAL;201734.jpg
220025;CADEADO 30MM - ALONGADO;UN;EPI/EPC;220025.jpg
220067;BARREIRA PANTOGRAFICA SANFONADA;UN;FERRAMENTAS;220067.jpg
220114;"CHAVE,CANHAO ISOL,1000V SEXT  1/2""X125";PC;FERRAMENTAS;220114.jpg
220116;"CHAVE, ALLEN ISO, 1000V SEXT 5/16""X125";UN;FERRAMENTAS;220116.jpg
231194;POSTE CONC. DT 13MX1000DAN,PM0055 I13 R8;PC;POSTE;231194.jpg
231197;POSTE,CONC,DT,15/2000DAN,PM-BR314.01;UN;POSTE;231197.jpg
231218;POSTE,15MX2000DAN,CONC.CIRC,DED-0054 R7;PC;POSTE;231218.jpg
231219;POSTE,15MX1000DAN,CONC.CIRC.DED-0054 R7;PC;POSTE;231219.jpg
231280;POSTE 11MX1000DAN,CONC.CIRC.DED-0054 R7;PC;POSTE;231280.jpg
231281;POSTE 12MX1000DAN,CONC.CIRC, DED-0054 R7;PC;POSTE;231281.jpg
231282;POSTE,12MX2000DAN,CONC.CIRC,DED-0054 R7;PC;POSTE;231282.jpg
231283;POSTE,9MX200DAN,CONC.CIRCULARDED-0054R7;PC;POSTE;231283.jpg
231285;POSTE,11MX200DAN CONC.CIRC.DED-0054 R7;PC;POSTE;231285.jpg
231286;POSTE 11MX400DANCONC. CIRC.DED-0054 R7;PC;POSTE;231286.jpg
231287;POSTE,11MX600DAN CONC.CIRC, DED-0054 R7;PC;POSTE;231287.jpg
231288;POSTE 12MX400DAN,CONC.CIRC, DED-0054 R.7;PC;POSTE;231288.jpg
231289;POSTE 12MX600DAN,CONC.CIRC, DED-0054 R.7;PC;POSTE;231289.jpg
231294;POSTE,13MX1000DAN,CONC.CIRC,DED-0054 R7;PC;POSTE;231294.jpg
231295;POSTE 11MX1500DAN,CONC.CIRC,DED-0054 R7;PC;POSTE;231295.jpg
231296;POSTE 13MX2000DAN,CONC.CIRC,DED-0054 R7;PC;POSTE;231296.jpg
231299;POSTE CONC. DT 9MX200DAN,  DED-0055 R4;PC;POSTE;231299.jpg
231300;POSTE CONC. DT 9MX400DAN,  DED-0055 R.4;PC;POSTE;231300.jpg
231301;POSTE CONC. DT 11MX200DAN,  DED-0055 R.4;PC;POSTE;231301.jpg
231302;POSTE CONC. DT, 11MX400DAN, DED- 0055 R4;PC;POSTE;231302.jpg
231303;POSTE CONC. DT 11MX600DAN, DED-0055 R4;PC;POSTE;231303.jpg
231304;POSTE CONC. DT, 12MX400DAN,  DED-0055 R4;PC;POSTE;231304.jpg
231305;POSTE CONC. DT 12MX600DAN,  DED-0055 R4;PC;POSTE;231305.jpg
231307;CRUZETA,MADEIRA 2M,DED-1789 R.2;PC;CRUZETA;231307.jpg
231308;CRUZETA, MADEIRA 5M, DED-1790 R.2;PC;CRUZETA;231308.jpg
231309;MOLDURA, FIO TERRA, DED-98-1794 R.1;PC;MATERIAL GERAL;231309.jpg
231316;CRUZETA, MADEIRA 2,40M, DQN-2062 R2;PC;CRUZETA;231316.jpg
231320;SUPORTE ALUM MEDICAO CRUZETA PM-2175 I1;PZ;FERRAGEM;231320.jpg
231329;POSTE BIPARTIDO-PARTE INFERIOR-PM2216I1;PC;POSTE DE AÇO;231329.jpg
231330;POSTE BIPARTID-PART SUPERIOR 7M-PM2216I3;PC;POSTE DE AÇO;231330.jpg
231332;CRUZETA POL 90X112X2000MM;PC;CRUZETA;231332.jpg
231334;CRUZETA CONCRETO-2M-PM-2241;PC;CRUZETA DE CONCRETO;231334.jpg
231343;CRUZETA POLIMERICA- 2-4M- PM-2242;PC;CRUZETA;231343.jpg
231351;POSTE,FIBRA VIDRO,12M, 600DAN,ET-301;UN;POSTE DE FIBRA;231351.jpg
231360;POSTE,BIP,FIB,9m,200daN,D2268;PC;POSTE DE FIBRA;231360.jpg
231361;POSTE FIBRA BIPART 11X400DAN PM2268;PC;POSTE DE FIBRA;231361.jpg
231382;POSTE CONC. DT 13MX600DAN, D300.20.0;PC;POSTE;231382.jpg
231413;POSTE,FIBRA VIDRO,12M,1000DAN,PMBR307.01;UN;POSTE DE FIBRA;231413.jpg
231562;POSTE,FIBRA,12M,400DAN,PM-R307.01.1;PC;POSTE DE FIBRA;231562.jpg
231565;POSTE,FIBRA,BIP,12M,600DAN,PM-R307.01.1;PC;POSTE DE FIBRA;231565.jpg
231568;POSTE,FIBRA,11M,600DAN,PM-R307.01.1;PC;POSTE DE FIBRA;231568.jpg
231569;POSTE,FIBRA,BIP,9M,400DAN,PM-R307.01.1;PC;POSTE DE FIBRA;231569.jpg
231570;POSTE,FIBRA,BIP,9M,600DAN,PM-R307.01.1;PC;POSTE DE FIBRA;231570.jpg
231571;POSTE,FIBRA,BIP,11M,200DAN,PM-R307.01.1;PC;POSTE DE FIBRA;231571.jpg
231572;POSTE,FIBRA,BIP,11M,600DAN,PM-R307.01.1;PC;POSTE DE FIBRA;231572.jpg
231657;POSTE,FIBRA VIDRO,13M, 600DAN,D307.01;UN;POSTE DE FIBRA;231657.jpg
231666;POSTE,AÇO,G,14M/2680DAN,BIP,PM-R305.10.1;UN;POSTE DE AÇO;231666.jpg
231670;POSTE,AÇO,F,18M/1820DAN,BIP,PM-R305.10.1;UN;POSTE DE AÇO;231670.jpg
231671;POSTE,AÇO,G,18M/2780DAN,BIP,PM-R305.10.1;UN;POSTE DE AÇO;231671.jpg
232055;"SUPORTE MET GALV ""L"" 2.1/2""X2.1/2""X";PC;FERRAGEM;232055.jpg
240009;CRUZETA,ACO,2000MM,PMBR49009;EA;FERRAGEM;240009.jpg
240015;CAIXA,AÇO,PROT BUCHA BT,PM-BR190.64;UN;CAIXAS;240015.jpg
240016;CRUZETA,AÇO,2400mm,PM-Br 490.09;EA;FERRAGEM;240016.jpg
240066;MAO,FRANC,PLANA,AZ,1053MM,1000MM,D430.02;CDA;FERRAGEM;240066.jpg
240092;SUPORTE,FIXAÇÃO,CIRC,140-210MM,D426.02.0;PC;MATERIAL GERAL OEC;240092.jpg
240093;SUPORTE,FIXAÇÃO,CIRC,200-280MM,D426.02.0;PC;MATERIAL GERAL OEC;240093.jpg
240094;SUPORTE,FIXACAO,CIRC,260-340MM,D426.02.0;PC;MATERIAL GERAL OEC;240094.jpg
240095;SUPORTE,CONEXÃO,AZ,D42801.0;UN;MATERIAL GERAL OEC;240095.jpg
240096;SUPORTE,TERMINAL,EXT,UNIP,AZ,D42901.0;PC;MATERIAL GERAL OEC;240096.jpg
240097;CINTA,FIX,COND,POSTE,A=127,MT,D43510.0;PC;MATERIAL GERAL OEC;240097.jpg
240099;ARMAÇÃOSECAZ2ESTRC/HASTED520.01.0;UN;FERRAGEM;240099.jpg
240100;ARMACAO,SEC,AL,2ESTR,C/HASTE,D90511.1;UN;FERRAGEM;240100.jpg
240107;CANTONEIRA,LAZ65X6,5X900BR.CD45510.2;UN;FERRAGEM;240107.jpg
240116;ARMAÇÃO SECUNDÁRIA SIMPLES, DED-0034 R5;PC;FERRAGEM;240116.jpg
240117;ARMAÇÃO SECUNDÁRIA DUPLA,DED-0035 R4;PC;FERRAGEM;240117.jpg
240118;MAO FRANC.PERFILADA LG AL993MMPM-1259;PC;MATERIAL GERAL;240118.jpg
240119;MÃO FRANCESA PLANA LIGA AL. DED-1260 R.2;PC;MATERIAL GERAL;240119.jpg
240120;MÃO FRANC.PERFIL. 1534MM,DED-0042 I.2 R8;PC;FERRAGEM;240120.jpg
240121;MÃO FRANC.PERFIL. 993MM, DED-0042 I.1 R8;PC;FERRAGEM;240121.jpg
240124;MÃO,FRANCESA,AZ,PERFILADA, 993MM,D43001;UN;FERRAGEM;240124.jpg
240130;FIXADOR,AZ,P/CANTON U,SPACER,D44003;PC;MATERIAL GERAL;240130.jpg
240131;BRAÇO,AFAST,HOR,1650MM,AZ,D45701.0;PC;FERRAGEM;240131.jpg
240133;CINTA,DT,AL,180MM,D90420.0;PC;FERRAGEM;240133.jpg
240139;PLACA APOIO TIPO S1 P/SUPOR PM-R435.11.2;PC;MATERIAL GERAL;240139.jpg
240140;PLACA APOIO TIPO S2 P/SUPOR PM-R435.11.2;PC;MATERIAL GERAL;240140.jpg
240152;CINTA U,AZ,SUPORT,MT,D=340MM,PMA435.12.1;UN;MATERIAL GERAL OEC;240152.jpg
240153;GRAMPO,ANC,P CABO 3X95+52C,30KN,GSX00X/2;PC;MATERIAL GERAL;240153.jpg
240172;SUPORT FOR REMOVIBLE MV DISCHARGER;PC;MATERIAL GERAL;240172.jpg
240218;SUPORTE FIX CONCENTRADOR/TRANSF ACO CARB;UN;FERRAGEM;240218.jpg
250034;GANCHO DE SUSPENSAO,ACO,PM-BR904.27;EA;FERRAGEM;250034.jpg
250036;PRESILHA DE SUSPENSAO,AL,PM-BR904.28;EA;FERRAMENTAS;250036.jpg
250041;PROTETOR,ESTR E GLV,36KV,PM-BR780.06;EA;MATERIAL GERAL;250041.jpg
250042;SUPORTE,HORIZ,RD COMPACTA,34,5,D455.05;UN;FERRAGEM;250042.jpg
250043;BRAÇO,SUP,36.2KV,AZ,TIPO C,SPACER,D45501;EA;FERRAGEM;250043.jpg
250054;ALCA,DIST,AL,PREF,1/0AWG,CAA,D730.14;EA;MATERIAL GERAL;250054.jpg
250061;SUPORTE GUIA PARA PONTO DE SUSPENSÃO;EA;FERRAMENTAS;250061.jpg
250063;CINTA LIGA DE ELO DE TECIDO SINTÉTICO -;EA;FERRAMENTAS;250063.jpg
250064;MASTRO PARA IÇAMENTO DE  CARGA COM SISTE;UN;FERRAMENTAS;250064.jpg
250065;BASTAO TRACAO OLHAL/GANCHO,NTS 001-21HS;UN;FERRAMENTAS;250065.jpg
250066;CRUZETA,AUXILIAR,64MM X 2,83M;UN;FERRAMENTAS;250066.jpg
250073;CONJ HERRAJE RETENCIÓN CABLE AAAC 681;EA;FERRAMENTAS;250073.jpg
250074;MAT-OMBR-NOM-22-1544-EDBR - MOITÃO TRIPL;EA;FERRAMENTAS;250074.jpg
250075;SELA P/ POSTE COM EXTENSOR E COLAR 64MM;EA;FERRAGEM;250075.jpg
250076;SELA P/ POSTE COM EXTENSOR E COLAR 38MM;EA;FERRAGEM;250076.jpg
250078;ESTICADOR DE CABOSAlumínio CA com cober;EA;FERRAMENTAS;250078.jpg
250079;ESTIBO PARA LINHA VIVA RCA400-0331 FER;UN;FERRAMENTAS;250079.jpg
250080;PARAFUSO DE SELA RM4740 FERRO NODULAR,;UN;FERRAMENTAS;250080.jpg
250081;CINTA PARA MÃO FRANCESA;EA;FERRAMENTAS;250081.jpg
250083;PEGADOR DE BOBINA;EA;FERRAMENTAS;250083.jpg
250085;BASTÃO MASTRO 64X3000MM;EA;FERRAMENTAS;250085.jpg
250086;CABEÇOTE OLHAL PARA CONEXÃO DO BASTÃO MA;EA;FERRAMENTAS;250086.jpg
250087;(FLV03457-13) SUPORTE DIM. 38MM X 2,03M;CDA;FERRAMENTAS;250087.jpg
